Result,Description,Lat,Lng,Image,Detail
羽衣町１丁目都道Ｔ字路に歩行者向けカーブミラー設置,以前からＴ字路から出てくる車と横切る自転車の衝突事故が頻繁に起き、近所の方から何らかの対策を求められていました。,35.695051,139.424488,p19,http://mf2933.sakura.ne.jp/resume.html
羽衣町1丁目キャッスルマンション前歩道の補修,マンションにお住まいの方より歩道の勾配が急で車椅子の通行や高齢者が歩くのにバランスを崩し危険との声がありました。,35.696062,139.425657,p20,http://mf2933.sakura.ne.jp/resume.html
路地の汚水枡を付け替え道路の凸凹を補修,羽衣町２丁目の住宅地内にある汚水枡が旧式で道路が凹んでおり、特に夜間は足元が見えず高齢者にとって危険であると言われていました。,35.692446,139.425496,p21,http://mf2933.sakura.ne.jp/resume.html
立川三中前通り飛び出し注意の看板設置,袋路となっている住宅地ですが、通りに出る時の車との衝突が危険との近隣住民の方から声がありました。,35.690407,139.424702,p22,http://mf2933.sakura.ne.jp/resume.html
立川三中交差点北側Ｔ字路にカーブミラーを設置,Ｔ字路奥の住民の方から、車で出るときに左側から来る車が見えず危険という声がありました。,35.689989,139.427481,p23,http://mf2933.sakura.ne.jp/resume.html
光西寺横矢川緑地沿道にガードレール新設,ガードレールが老朽化により倒壊しており、歩行者が転落する危険がありました。,35.688560,139.424219,p24,http://mf2933.sakura.ne.jp/resume.html
柴崎体育館駅北側交差点にカーブミラーと事故防止のポールを設置,坂を下りてくる自転車と立川日野線に出てくる車との衝突事故が多く、信号がない為車と自転車両方に対する注意喚起が必要な場所でした。,35.689671,139.409027,p25,http://mf2933.sakura.ne.jp/resume.html
柴崎体育館駅西側立川崖線沿道に街灯設置,南口大通りの多摩都市モノレール柴崎体育館駅西側の緑豊かな立川崖線沿いの道路に街灯を設置しました。,35.689636,139.408652,p26,http://mf2933.sakura.ne.jp/resume.html
根川緑道北旧用水路道路に雨水桝設置,この通りを通って通勤をしている近隣の方より、雨の日に辺り一帯が水溜まりとなって歩行が困難との声がありました。,35.689144,139.407177,p27,http://mf2933.sakura.ne.jp/resume.html
都営団地西側雨水桝周辺の補修,雨水桝周辺が陥没しており、ご近所にお住まいの方から夜歩くのが危険との声がありました。,35.690285,139.406994,p28,http://mf2933.sakura.ne.jp/resume.html
多摩川河川敷沿いのＬ字路を舗装,多摩川の土手と公園に隣接したＬ字路で、舗装が古く凸凹していて景観が悪い状態でした。,35.687497,139.404977,p29,http://mf2933.sakura.ne.jp/resume.html
柴崎体育館沿道に郵便ポスト設置,柴崎体育館東側に郵便ポストを設置しました。,35.688120,139.411441,p30,http://mf2933.sakura.ne.jp/resume.html
多摩川運動場入口道路の凸凹を補修,錦町浄水処理場横のテニス・フットサルコート入口に通じるＬ字路の道路補修工事が実施されました。,35.686377,139.410572,p31,http://mf2933.sakura.ne.jp/resume.html
立川公園野球場南鉄塔下の公園に健康遊具を設置,この度新機種が設置され、散歩等で訪れる多くの人が健康目的で使用しています。,35.684961,139.417460,p32,http://mf2933.sakura.ne.jp/resume.html
立川駅南口デッキ下「公衆トイレ」全面リニューアル,これまで悪臭や衛生面での苦情が多く、私は平成27年12月議会で、南口の公衆トイレがまちのイメージを大きく損なっていると訴え、南口の玄関口に相応しい、女性も安心して利用できる清潔で快適なトイレに全面改装するよう訴えました。,35.696990,139.414220,p33,http://mf2933.sakura.ne.jp/resume.html
くるりんバス錦町ルートの運行本数の改革を推進,この度錦町ルートの再編が決定し、従来と比べ運行本数が増え、平日AM9:40までは30分間隔、それ以降は35～40分間隔での運行となります。,35.696764,139.413969,p34,http://mf2933.sakura.ne.jp/resume.html
「客引き客待ち防止条例」を制定,南口のイメージアップを図るため「公道上での客待ち行為は禁止すべき。」と条例改正を訴えてきました。当条例により従来は風俗業のみであった規制対象が居酒屋等の飲食店、カラオケ店、美容室をはじめとした全ての業種の客引き･客待ち行為にまで広がります。,35.696633,139.414774,p35,http://mf2933.sakura.ne.jp/resume.html
